_id,movie_id,rating_val,user_id
5fc57c5d6758f6963451a07f,feast-2014,7,deathproof
5fc57c5d6758f6963451a063,loving-2016,7,deathproof
5fc57c5d6758f6963451a0ef,scripted-content,7,deathproof
5fc57c5d6758f6963451a060,the-future,4,deathproof
5fc57c5c6758f69634519398,mank,5,deathproof
5fc57c5d6758f6963451a05b,embers-2015,5,deathproof
5fc57c5d6758f6963451a172,the-social-network,10,deathproof
5fc57c5d6758f6963451a06c,miss-you-already,7,deathproof
5fc57c5d6758f6963451a0a0,saw-iii,7,deathproof
5fc57c5d6758f6963451a095,recess-schools-out,6,deathproof
5fc57c5d6758f6963451a0e0,the-girl-on-the-train-2016,8,deathproof
5fc57c5d6758f6963451a11d,yes-man,6,deathproof
5fc57c5d6758f6963451a091,insidious,10,deathproof
5fc57c5d6758f6963451a168,the-alphabet,5,deathproof
5fc57c5d6758f6963451a0a4,first-girl-i-loved,7,deathproof
5fc57c5d6758f6963451a239,red-mist,4,deathproof
5fc57c5d6758f6963451a10e,sydney-white,5,deathproof
5fc57c5d6758f6963451a257,bo-burnham-what,8,deathproof
5fc57c5d6758f6963451a148,all-cheerleaders-die,8,deathproof
5fc57c5d6758f6963451a284,the-wave-2015,5,deathproof
5fc57c5d6758f6963451a19c,next-floor,8,deathproof
5fc57c5d6758f6963451a2f0,nerve-2016,7,deathproof
5fc57c5d6758f6963451a282,the-disappearance-of-eleanor-rigby-her,8,deathproof
5fc57c5d6758f6963451a32a,mud,4,deathproof
5fc57c5d6758f6963451a2f6,doubt,8,deathproof
5fc57c5e6758f6963451a37e,walk-hard-the-dewey-cox-story,8,deathproof
5fc57c5e6758f6963451a3ff,hush-2016,8,deathproof
5fc57c5e6758f6963451a4ee,deadpool,5,deathproof
5fc57c5e6758f6963451a3f6,the-invitation-2015,3,deathproof
5fc57c5e6758f6963451a5ad,trick-r-treat,10,deathproof
5fc57c5e6758f6963451a461,queen-of-earth,6,deathproof
5fc57c5e6758f6963451a687,crimson-peak,8,deathproof
5fc57c5e6758f6963451a4fc,bitter-orange,2,deathproof
5fc57c5e6758f6963451a6b8,fright-night,4,deathproof
5fc57c5e6758f6963451a5c4,a-charlie-brown-thanksgiving,6,deathproof
5fc57c5e6758f6963451a6b3,the-duke-of-burgundy,10,deathproof
5fc57c5e6758f6963451a623,v-h-s,3,deathproof
5fc57c5e6758f6963451a8ac,are-we-there-yet,5,deathproof
5fc57c5e6758f6963451a645,would-you-rather,7,deathproof
5fc57c5e6758f6963451a8bd,the-shaggy-dog-2006,1,deathproof
5fc57c5e6758f6963451a67a,the-lazarus-effect-2015,6,deathproof
5fc57c5e6758f6963451a699,birdman-or-the-unexpected-virtue-of-ignorance,8,deathproof
5fc57c5e6758f6963451a918,sleepover,3,deathproof
5fc57c5e6758f6963451a98e,vacation-2015,5,deathproof
5fc57c5e6758f6963451a68f,saving-silverman,4,deathproof
5fc57c5e6758f6963451a70a,happy-feet,3,deathproof
5fc57c5e6758f6963451aa09,cow-belles,3,deathproof
5fc57c5e6758f6963451a847,lava-2014,6,deathproof
5fc57c5e6758f6963451aa1b,read-it-and-weep,6,deathproof
5fc57c5e6758f6963451aa2f,now-you-see-it,5,deathproof
5fc57c5e6758f6963451aa2a,halloweentown-high,5,deathproof
5fc57c5e6758f6963451ab54,spy,7,deathproof
5fc57c5e6758f6963451aaa6,moms-got-a-date-with-a-vampire,4,deathproof
5fc57c5e6758f6963451ab46,tig,8,deathproof
5fc57c5d6758f6963451a196,legend-2015,6,deathproof
5fc57c5d6758f6963451a1a0,incendies,10,deathproof
5fc57c5d6758f6963451a1a6,antibirth,5,deathproof
5fc57c5d6758f6963451a1fb,kubo-and-the-two-strings,7,deathproof
5fc57c5d6758f6963451a20c,dont-breathe-2016,10,deathproof
5fc57c5d6758f6963451a289,sun-choke,6,deathproof
5fc57c5d6758f6963451a2dd,the-bling-ring,10,deathproof
5fc57c5d6758f6963451a338,oslo-august-31st,7,deathproof
5fc57c5e6758f6963451a382,wet-hot-american-summer,8,deathproof
5fc57c5e6758f6963451a38c,the-conjuring-2,6,deathproof
5fc57c5e6758f6963451a40f,twister,8,deathproof
5fc57c5e6758f6963451a469,full-metal-jacket,5,deathproof
5fc57c5e6758f6963451a4aa,batman-v-superman-dawn-of-justice,8,deathproof
5fc57c5e6758f6963451a4a4,trading-mom,6,deathproof
5fc57c5e6758f6963451a524,the-revenant-2015,6,deathproof
5fc57c5e6758f6963451a5ee,the-wrong-trousers,7,deathproof
5fc57c5e6758f6963451a5f6,oliver-company,5,deathproof
5fc57c5e6758f6963451a638,raise-your-voice,2,deathproof
5fc57c5e6758f6963451a6aa,because-of-winn-dixie,4,deathproof
5fc57c5e6758f6963451a6f4,lost-river,7,deathproof
5fc57c5e6758f6963451a744,good-burger,6,deathproof
5fc57c5e6758f6963451a755,shark-tale,4,deathproof
5fc57c5e6758f6963451a7c5,homeward-bound-the-incredible-journey,6,deathproof
5fc57c5e6758f6963451a972,while-you-were-sleeping,7,deathproof
5fc57c5e6758f6963451a9bb,bottle-rocket-1996,7,deathproof
5fc57c5e6758f6963451a9e3,fantastic-four,4,deathproof
5fc57c5e6758f6963451aa36,tiger-cruise,2,deathproof
5fc57c5e6758f6963451aa58,full-court-miracle,3,deathproof
5fc57c5e6758f6963451aa90,double-teamed,5,deathproof
5fc57c5d6758f6963451a070,macbeth-2015,6,deathproof
5fc57c5d6758f6963451a085,paperman,8,deathproof
5fc57c5d6758f6963451a1b8,struck-by-lightning,4,deathproof
5fc57c5d6758f6963451a27e,the-disappearance-of-eleanor-rigby-him,7,deathproof
5fc57c5d6758f6963451a30e,the-royal-tenenbaums,6,deathproof
5fc57c5d6758f6963451a343,cronos,4,deathproof
5fc57c5d6758f6963451a359,short-term-12-2013,10,deathproof
5fc57c5d6758f6963451a356,the-way-he-looks,7,deathproof
5fc57c5d6758f6963451a34f,adaptation,9,deathproof
5fc57c5e6758f6963451a379,drive-2011,10,deathproof
5fc57c5e6758f6963451a399,martha-marcy-may-marlene,7,deathproof
5fc57c5e6758f6963451a3c9,neighbors-2014,7,deathproof
5fc57c5e6758f6963451a4b0,freeheld-2015,6,deathproof
5fc57c5e6758f6963451a4b2,heaven-knows-what,8,deathproof
5fc57c5e6758f6963451a562,room-2015,10,deathproof
5fc57c5e6758f6963451a599,what-we-do-in-the-shadows,9,deathproof
5fc57c5e6758f6963451a5fd,madagascar-escape-2-africa,5,deathproof
5fc57c5e6758f6963451a621,stardust-2007,6,deathproof
5fc57c5e6758f6963451a626,envy,4,deathproof
5fc57c5e6758f6963451a648,pontypool,7,deathproof
5fc57c5e6758f6963451a686,film:181756,2,deathproof
5fc57c5e6758f6963451a693,dope-2015,8,deathproof
5fc57c5e6758f6963451a7ca,one-hundred-and-one-dalmatians,5,deathproof
5fc57c5e6758f6963451a839,like-mike,1,deathproof
5fc57c5e6758f6963451a8f6,getting-there,3,deathproof
5fc57c5e6758f6963451a925,getting-even-with-dad,3,deathproof
5fc57c5e6758f6963451a96c,the-land-before-time,6,deathproof
5fc57c5e6758f6963451a9c7,the-mist,4,deathproof
